"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-26.1491008856648,314.420594150302,-0.0831659928521245,0.933719552806657
"pv_period_fv2_10:19",0.0895499782962501,0.206198608707058,0.434289924930929,0.664077919138912
"pv_period_fv2_20+",0.770231737823174,0.185056150508549,4.16215151837167,3.15263040621914e-05
"pv_period_fv3_0:1",-0.430883799201487,0.214540707880326,-2.00840112563552,0.0446006833894644
"pv_period_fv3_2:4",-15.8766308229537,1538.86931747728,-0.0103170754284586,0.991768310836225
"pv_period_fv3_2:4_Mo",-0.72455796723287,0.226261573546859,-3.20230234358735,0.00136333824611301
"pv_period_fv3_2:4_PB",-0.489623376674346,0.199857004580327,-2.44986848323125,0.0142908402007626
"pv_period_fv3_5:7",-16.3984205207991,1640.97275234478,-0.00999310957318907,0.992026784861215
"pv_period_fv3_5:7_Mo",-0.936419336514009,0.218641811936273,-4.28289231698712,1.84479464901748e-05
"pv_period_fv3_5:7_PB",-0.436621351678318,0.193710674349887,-2.25398705127461,0.0241969825920912
"pv_period_fv3_8+",0.430800942934265,0.276414375774982,1.55853306010742,0.119106937319347
"pv_period_fv3_8+_Mo",-0.694142354379482,0.196239658043822,-3.53721750893224,0.000404366502087441
"pv_period_fv3_8+_PB",-0.357115806023872,0.188591979795454,-1.89358957051726,0.058279508929593
"period_f7",-0.0164165567238739,443.573363226372,-3.70097893265424e-05,0.999970470460505
"period_f14",0.0495962741968864,437.419168845746,0.000113383860903399,0.999909532768135
"period_f21",0.128916755762942,432.080190344769,0.000298363032241945,0.999761940746592
"period_f28",0.234854648139773,427.432532281495,0.0005494543124413,0.999561598909295
"period_f35",0.351494265095342,424.248806335236,0.000828509732606285,0.999338944951506
"period_f42",0.477733878351081,420.996892550838,0.00113476818191334,0.999094586181878
"period_f49",0.620678170814612,415.830381295106,0.00149262343189429,0.99880905925082
"period_f56",0.69220955360755,417.004865341963,0.00165995558118946,0.998675547678395
"period_f63",0.811307061393557,413.380583801995,0.00196261530701733,0.998434060553032
"period_f70",0.937396056529891,408.774639696592,0.0022931854510976,0.998170304337148
"period_f77",0.991403776619723,409.629707104781,0.00242024384321845,0.998068926689354
"period_f84",1.05991354799879,408.719286433091,0.00259325552569025,0.997930883772961
"period_f91",17.0276220785815,314.420562084968,0.0541555614736799,0.956811225501421
"period_f98",18.8986584830549,314.42053206779,0.0601063116291027,0.952070963101099
"period_f105",19.5532079903629,314.420529492917,0.0621880766561187,0.950413057561913
"period_f112",19.7160323774872,314.420529242257,0.0627059321635333,0.950000673509098
"period_f119",19.4851588584508,314.420530159467,0.0619716493976026,0.950585409095897
"period_f126",19.3690078992714,314.420530788739,0.0616022365037146,0.950879595854979
"period_f133",19.1128218926128,314.420532109064,0.0607874484672108,0.951528486507838
"period_f140",19.0830015667125,314.420532371875,0.0606926062453912,0.951604020188591
"period_f147",19.1669504777886,314.420532063522,0.0609596019445585,0.951391382167783
"period_f154",19.2254816027338,314.420531934427,0.0611457575128817,0.951243128075114
"period_f161",19.4825680037386,314.420530986634,0.0619634091406289,0.950591971258341
"SexM",0.176650454719879,0.0323352497511923,5.46309232429432,4.679110862003e-08
