"","Adjusted Rate Ratio","LCI","UCI","ARR (LCI-UCI)"
"(Intercept)",0,0,0,"0 (0-0)"
"date_perioddate_preiod_168o",4.206,3.718,4.757,"4.206 (3.718-4.757)"
"date_perioddate_preiod_4984",1.285,1.121,1.473,"1.285 (1.121-1.473)"
"date_perioddate_preiod_84168",2.659,2.356,3,"2.659 (2.356-3)"
"date_perioddate_preiod_b_1428_Mo",1.026,0.815,1.291,"1.026 (0.815-1.291)"
"date_perioddate_preiod_b_1428_PB",1.314,1.13,1.53,"1.314 (1.13-1.53)"
"date_perioddate_preiod_b_28o_Mo",1.851,1.582,2.165,"1.851 (1.582-2.165)"
"date_perioddate_preiod_b_28o_PB",2.906,2.559,3.302,"2.906 (2.559-3.302)"
"SexM",1.287,1.243,1.333,"1.287 (1.243-1.333)"
"age_gp30-34",1.264,1.108,1.442,"1.264 (1.108-1.442)"
"age_gp35-39",1.292,1.136,1.468,"1.292 (1.136-1.468)"
"age_gp40-44",1.289,1.136,1.461,"1.289 (1.136-1.461)"
"age_gp45-49",1.248,1.105,1.41,"1.248 (1.105-1.41)"
"age_gp50-54",1.341,1.197,1.502,"1.341 (1.197-1.502)"
"age_gp55-59",1.507,1.351,1.681,"1.507 (1.351-1.681)"
"age_gp60-64",1.71,1.534,1.906,"1.71 (1.534-1.906)"
"age_gp65-69",1.831,1.641,2.044,"1.831 (1.641-2.044)"
"age_gp70-74",2.341,2.104,2.605,"2.341 (2.104-2.605)"
"age_gp75-79",2.956,2.656,3.29,"2.956 (2.656-3.29)"
"age_gp80+",4.142,3.744,4.583,"4.142 (3.744-4.583)"
"vacc_gap7-8 wk",0.85,0.766,0.943,"0.85 (0.766-0.943)"
"vacc_gap9-10 wk",0.936,0.847,1.034,"0.936 (0.847-1.034)"
"vacc_gap11-12 wk",0.933,0.842,1.033,"0.933 (0.842-1.033)"
"vacc_gap13+ wk",1.261,1.111,1.431,"1.261 (1.111-1.431)"
"variantAlpha",0.227,0.189,0.274,"0.227 (0.189-0.274)"
"variantOmicron",0.934,0.863,1.011,"0.934 (0.863-1.011)"
"prior_infect_monthgrp11",0.264,0.198,0.352,"0.264 (0.198-0.352)"
"prior_infect_monthgrp12",0.058,0.038,0.089,"0.058 (0.038-0.089)"
"prior_infect_monthgrp13",0.032,0.014,0.072,"0.032 (0.014-0.072)"
"prior_infect_monthgrp14",0.086,0.053,0.141,"0.086 (0.053-0.141)"
"n_risk_gps1",1.675,1.591,1.764,"1.675 (1.591-1.764)"
"n_risk_gps2",2.721,2.572,2.88,"2.721 (2.572-2.88)"
"n_risk_gps3",3.736,3.504,3.983,"3.736 (3.504-3.983)"
"n_risk_gps4",4.302,3.987,4.641,"4.302 (3.987-4.641)"
"n_risk_gps5+",5.099,4.708,5.523,"5.099 (4.708-5.523)"
"n_tests_gp1",1.374,1.308,1.443,"1.374 (1.308-1.443)"
"n_tests_gp2",2.114,1.989,2.246,"2.114 (1.989-2.246)"
"n_tests_gp3-4",2.586,2.429,2.753,"2.586 (2.429-2.753)"
"n_tests_gp5-9",2.781,2.591,2.985,"2.781 (2.591-2.985)"
"n_tests_gp10+",2.563,2.363,2.78,"2.563 (2.363-2.78)"
"simd2020_sc_quintile1 - High",1.866,1.757,1.982,"1.866 (1.757-1.982)"
"simd2020_sc_quintile2",1.608,1.514,1.708,"1.608 (1.514-1.708)"
"simd2020_sc_quintile3",1.339,1.256,1.428,"1.339 (1.256-1.428)"
"simd2020_sc_quintile4",1.213,1.137,1.295,"1.213 (1.137-1.295)"
"num_pos_avg",1.003,1.002,1.004,"1.003 (1.002-1.004)"
"ur_combined2",0.815,0.771,0.862,"0.815 (0.771-0.862)"
"bmi_gp1<18.5",1.317,1.162,1.492,"1.317 (1.162-1.492)"
"bmi_gp125-29.9",0.976,0.92,1.034,"0.976 (0.92-1.034)"
"bmi_gp130-39.9",1.18,1.114,1.25,"1.18 (1.114-1.25)"
"bmi_gp140+",1.886,1.734,2.051,"1.886 (1.734-2.051)"
"bmi_gp1NA",0.951,0.899,1.007,"0.951 (0.899-1.007)"
"HBS08000016",0.673,0.578,0.785,"0.673 (0.578-0.785)"
"HBS08000017",1.01,0.9,1.133,"1.01 (0.9-1.133)"
"HBS08000019",1.087,0.99,1.194,"1.087 (0.99-1.194)"
"HBS08000020",0.749,0.685,0.819,"0.749 (0.685-0.819)"
"HBS08000022",0.626,0.56,0.7,"0.626 (0.56-0.7)"
"HBS08000024",0.974,0.9,1.055,"0.974 (0.9-1.055)"
"HBS08000025",1.13,0.799,1.598,"1.13 (0.799-1.598)"
"HBS08000026",0.527,0.363,0.765,"0.527 (0.363-0.765)"
"HBS08000028",0.677,0.474,0.967,"0.677 (0.474-0.967)"
"HBS08000029",0.968,0.886,1.058,"0.968 (0.886-1.058)"
"HBS08000030",0.937,0.859,1.021,"0.937 (0.859-1.021)"
"HBS08000031",0.999,0.93,1.074,"0.999 (0.93-1.074)"
"HBS08000032",1.039,0.962,1.123,"1.039 (0.962-1.123)"
