"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-24.7697230116985,231.515313999004,-0.106989566192606,0.914797257214013
"pv_period_fv2_10:19",0.226765288980612,0.331573329752759,0.683906902734613,0.494033954944532
"pv_period_fv2_20+",0.553384154647712,0.286987889013867,1.9282491555627,0.053824142703291
"pv_period_fv3_0:1",-0.682166183857825,0.314907942405546,-2.16624000857786,0.0302928513228978
"pv_period_fv3_2:4",-15.4077584266304,988.613817880564,-0.0155852145174972,0.98756530135752
"pv_period_fv3_2:4_Mo",-1.13248510220208,0.327519290019991,-3.45776611244165,0.000544674020937137
"pv_period_fv3_2:4_PB",-0.904918073731755,0.300287837843211,-3.01350224581602,0.00258251129738276
"pv_period_fv3_5:7",-15.8532627174633,1043.72222036908,-0.0151891589621013,0.987881270560806
"pv_period_fv3_5:7_Mo",-1.28564612478072,0.317015026487001,-4.05547377052627,5.00327870275719e-05
"pv_period_fv3_5:7_PB",-0.793659879933615,0.294179117001485,-2.69787974083017,0.00697826446745425
"pv_period_fv3_8+",0.205272675272153,0.359948996043639,0.570282672068536,0.568485991597578
"pv_period_fv3_8+_Mo",-0.975748347336397,0.295865339549813,-3.29794746765907,0.000973943538925071
"pv_period_fv3_8+_PB",-0.730082284046248,0.290011365751655,-2.51742645380126,0.0118215647164203
"period_f7",-0.0302004045128193,328.751605421358,-9.18638997187914e-05,0.999926703212822
"period_f14",0.0561341067766872,322.071155416775,0.000174291009401469,0.999860935895216
"period_f21",0.108459392128407,319.744401927386,0.000339206539581695,0.999729352344335
"period_f28",0.202985341557332,317.400950438857,0.000639523420697614,0.999489734171136
"period_f35",0.322078590094328,315.380649614381,0.00102123763930392,0.999185170396323
"period_f42",0.437445838372908,313.944860012374,0.00139338429798044,0.998888240541127
"period_f49",0.563565264984849,310.879340345283,0.0018128102831115,0.99855358745566
"period_f56",0.662890343212523,310.267423893625,0.00213651286652574,0.998295310666738
"period_f63",0.802641745818947,307.105331983331,0.0026135715086266,0.997914674018772
"period_f70",0.97661590595349,302.072586075292,0.00323305043546741,0.997420403467166
"period_f77",1.06707004217317,302.182063212989,0.00353121568774603,0.997182503377339
"period_f84",1.18901057964233,300.501061801765,0.00395675999450111,0.996842970527303
"period_f91",16.4591105431781,231.515142996593,0.0710930193599489,0.943323723858376
"period_f98",18.1042620843011,231.515099817065,0.078199055260786,0.937669713510703
"period_f105",18.8281637413881,231.515094188293,0.0813258582875593,0.935182810157692
"period_f112",18.9586364280255,231.515093793083,0.0818894186008012,0.934734648911633
"period_f119",18.6354332211072,231.515096299933,0.0804933825868728,0.935844859089546
"period_f126",18.5210704335161,231.515097680367,0.0799994066006291,0.936237727923569
"period_f133",18.2861305164519,231.51510027708,0.0789846126432652,0.93704486215485
"period_f140",18.2326406619459,231.515101107719,0.0787535697443018,0.937228635261644
"period_f147",18.3768762158588,231.51509987226,0.0793765772772418,0.93673309847203
"period_f154",18.4575159014026,231.515099412502,0.0797248902911333,0.93645606287047
"period_f161",18.6866796401703,231.515097721761,0.0807147344776117,0.935668818632325
"SexM",0.255579524668673,0.0390727246434996,6.54112368667878,6.10583059758483e-11
"age_gp50-54",0.0848781869549382,0.0919012002543225,0.923580831589259,0.355704597634407
"age_gp55-59",0.331572665937026,0.0830264339489464,3.99357951638526,6.50832386274073e-05
"age_gp60-64",0.427942639225952,0.0884728920208761,4.83699164174462,1.3181896882081e-06
"age_gp65-69",0.899350529811625,0.0931581009776072,9.65402386237785,4.72638937292112e-22
"age_gp70-74",1.03497822375411,0.0881663543048606,11.7389250345474,8.05031557385852e-32
"age_gp75-79",1.13426834329967,0.0852790587674262,13.3006667720507,2.29413297827624e-40
"age_gp80+",1.64143922287211,0.0715982913963426,22.9256758905836,2.57698663270896e-116
"n_risk_gps1",0.624507355365296,0.0588479227642484,10.6122242898385,2.61449723728752e-26
"n_risk_gps2",1.02240836206363,0.0632299592699602,16.1696824395926,8.25226083125239e-59
"n_risk_gps3",1.42128244029466,0.0702367056690103,20.2356079596391,4.75723277542133e-91
"n_risk_gps4",1.29031315717798,0.0865029591466579,14.9164048248381,2.57793904516415e-50
"n_risk_gps5+",1.69791075315177,0.0872686143001079,19.4561443053607,2.58517557451425e-84
"bmi_gp<18.5",0.781050128551962,0.116662211225339,6.69497106516626,2.15714310540829e-11
"bmi_gp25-29.9",-0.181018873220864,0.0537309306108179,-3.36898823755751,0.000754446483531532
"bmi_gp30-34.9",-0.16456938435331,0.0667725120809808,-2.46462772216391,0.0137155671556649
"bmi_gp35-39.9",-0.062109332117437,0.0887668175509126,-0.699690873583633,0.484120377210516
"bmi_gp40+",0.120144121496164,0.104162926564452,1.15342498006547,0.248735993243043
"simd2020_sc_quintile1 - High",0.514255856182457,0.0662607985648412,7.76108751057714,8.42041876298444e-15
"simd2020_sc_quintile2",0.441735321910181,0.0667448156558739,6.61827166004474,3.63422717634981e-11
"simd2020_sc_quintile3",0.234106785660969,0.0701582048306953,3.33684116100052,0.000847363603084241
"simd2020_sc_quintile4",0.126387970358077,0.0730233198484987,1.73078915913839,0.0834893761322555
"pos_before_start_upos_0:2_months",-0.86889408267768,0.169357290094531,-5.13053841492555,2.88914588540498e-07
"pos_before_start_upos_3:5_months",-1.31353259211118,0.501677006910965,-2.61828342542375,0.00883733694498511
"pos_before_start_upos_6:8_months",-1.25982452995152,0.220490215561016,-5.71374347267979,1.10517561167971e-08
"pos_before_start_upos_9+_months",-1.46440499596307,0.278980394563858,-5.24913228491356,1.52817311967559e-07
"vacc_gap7-8 wk",-0.190376842039651,0.139872318933461,-1.36107589758497,0.173489705588086
"vacc_gap9-10 wk",-0.352303305536069,0.13422044419997,-2.62481105345758,0.00866970629887076
"vacc_gap11-12 wk",-0.282678695831043,0.136108565248619,-2.07686191765151,0.0378143054792232
"vacc_gap13+ wk",-0.301823180086179,0.15571210018239,-1.93834120619172,0.0525816082789271
"n_tests_gp1",0.412004253681031,0.0559010876745295,7.37023680254355,1.70325218191643e-13
"n_tests_gp10+",1.84600020711726,0.0734451810529103,25.1343952135865,2.09344543580153e-139
"n_tests_gp2",0.69059020998526,0.0675231188655252,10.2274631502226,1.49381211852047e-24
"n_tests_gp3-4",1.24704761776067,0.06213780362386,20.069064965821,1.37568316132489e-89
"n_tests_gp5-9",1.54136541393223,0.0666673843829463,23.1202323024768,2.89825429689191e-118
"ur_combined1",0.314873208395221,0.0566853303560592,5.55475652020371,2.77998984394371e-08
