"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-25.921276084316,493.24384920946,-0.0525526595534055,0.958088337013483
"pv_period_fv2_10:19",0.407551277569328,0.324536391402685,1.25579530790936,0.209190193231293
"pv_period_fv2_20+",0.906568170491953,0.304568809509094,2.9765627411197,0.00291499430353792
"pv_period_fv3_0:1",-0.32791422058994,0.373470104842538,-0.878019997686816,0.379932866445954
"pv_period_fv3_2:4",-15.3121272477454,4892.77841676511,-0.00312953621510395,0.997502995447438
"pv_period_fv3_2:4_Mo",-0.473914519953329,0.408855047586188,-1.15912600994226,0.24640482523686
"pv_period_fv3_2:4_PB",-0.0162910628637209,0.336722922150031,-0.048381211352348,0.961412432936605
"pv_period_fv3_5:7",-15.6092985073259,5500.79996195451,-0.00283764154582703,0.997735892660003
"pv_period_fv3_5:7_Mo",-0.506112528266753,0.384238545422254,-1.3171831256819,0.187777248723779
"pv_period_fv3_5:7_PB",-0.0166031497249086,0.325624810517137,-0.0509885892863644,0.959334613152004
"pv_period_fv3_8+",0.210053693038145,0.777443044052517,0.270185314081935,0.787017690355462
"pv_period_fv3_8+_Mo",-0.40872796297155,0.33722234259174,-1.21204295015048,0.225495940085521
"pv_period_fv3_8+_PB",0.245809548923932,0.311602687674194,0.788855676305802,0.43019636403379
"period_f7",0.0138017575578437,691.777501711736,1.99511512353215e-05,0.99998408128446
"period_f14",0.0836087202063179,686.47958682376,0.000121793454330031,0.999902822883423
"period_f21",0.191147919597616,677.713798858026,0.000282048144688374,0.999774958142934
"period_f28",0.282771890683657,670.849088141003,0.000421513415882026,0.999663680963256
"period_f35",0.391855552932518,664.142385560673,0.000590017384000739,0.999529234266014
"period_f42",0.523605619229637,657.650087716956,0.000796176612774953,0.999364743040109
"period_f49",0.684484160723447,648.302546029767,0.00105580976800918,0.999157585843472
"period_f56",0.718040255150121,653.555776211916,0.00109866713949338,0.999123390628291
"period_f63",0.780325039801838,649.752421459526,0.00120095749400827,0.999041774787692
"period_f70",0.809079085523401,647.708328375154,0.0012491410872438,0.999003329871417
"period_f77",0.791214057213063,650.609711100175,0.00121611166220548,0.999029683519685
"period_f84",0.787067300796367,650.686619467253,0.00120959502969459,0.99903488303633
"period_f91",15.2686574410915,493.243996801207,0.0309555869713814,0.975304959145004
"period_f98",18.316373919345,493.243755816101,0.0371345277124481,0.970377741871703
"period_f105",18.8062474719068,493.243751569443,0.0381276953069705,0.969585869698121
"period_f112",19.0221211782049,493.243750608094,0.038565356691805,0.969236923088749
"period_f119",19.0098723043996,493.243751075076,0.0385405233476666,0.969256722510931
"period_f126",18.8895195748138,493.243752141512,0.0382965207218568,0.969451264814837
"period_f133",18.554685834284,493.243755172199,0.0376176801829073,0.969992511151236
"period_f140",18.563669955261,493.243755267086,0.0376358945390175,0.969977988481767
"period_f147",18.5502779190515,493.243755591037,0.037608743564981,0.969999636498616
"period_f154",18.5862380926205,493.243755588342,0.0376816490468303,0.969941507543898
"period_f161",18.8746604269332,493.2437534744,0.0382663952538282,0.969475283854622
"SexM",0.00568598991592633,0.0601912885297118,0.0944653296983265,0.924739522147095
"age_gp50-54",0.119238978774269,0.160324730334757,0.743734160820346,0.457037318480323
"age_gp55-59",0.237249151682504,0.149374705715801,1.58828196879525,0.112222592948994
"age_gp60-64",0.353287859729113,0.15564625321902,2.26981281221064,0.0232189428737265
"age_gp65-69",0.680069526413208,0.118238403988624,5.7516805324828,8.83606548247595e-09
"age_gp70-74",0.81994487073591,0.117092209010106,7.0025570246535,2.5133253276963e-12
"age_gp75-79",1.13467415367405,0.128225774389436,8.8490333482246,8.82805932301376e-19
"age_gp80+",1.82227130610852,0.119925176203125,15.1950688237642,3.81262949200077e-52
"n_risk_gps1",0.440211725291187,0.0771791020383705,5.70376842519275,1.17187260250466e-08
"n_risk_gps2",0.883508453461534,0.0943324176675404,9.36590490636336,7.54013715023761e-21
"n_risk_gps3",1.41216782315484,0.106484794757678,13.2616851670554,3.86120484325834e-40
"n_risk_gps4",1.60329585476935,0.127970814083019,12.5286055750903,5.20701262814212e-36
"n_risk_gps5+",1.23247606692897,0.152084895203518,8.10386899553495,5.32384315794186e-16
"bmi_gp<18.5",0.306448400567604,0.189616108744288,1.61615172148097,0.106061513982121
"bmi_gp25-29.9",-0.0833115454777963,0.0781481368766427,-1.06607206271986,0.28639106742881
"bmi_gp30-34.9",-0.149006541746206,0.107344199248882,-1.38811917913448,0.165100757312239
"bmi_gp35-39.9",0.0856528197211413,0.133196025908804,0.643058373076279,0.520186223789741
"bmi_gp40+",0.385043128530704,0.158057232727426,2.43609939188751,0.0148466044735397
"simd2020_sc_quintile1 - High",0.554508164851629,0.0933881222266445,5.93767335321176,2.89095300092562e-09
"simd2020_sc_quintile2",0.368335246638262,0.0961914065190974,3.82919077667436,0.000128565315316998
"simd2020_sc_quintile3",0.246136233791992,0.100005049988027,2.46123804569328,0.0138458465897751
"simd2020_sc_quintile4",0.142167572397807,0.0997936481972227,1.42461544362864,0.154268393335708
"pos_before_start_upos_0:2_months",-1.36968965109684,0.271404578449852,-5.04667113178386,4.49574213794598e-07
"pos_before_start_upos_3:5_months",-1.17670392849054,0.579471784236827,-2.03064922313737,0.0422905906515717
"pos_before_start_upos_6:8_months",-1.75508599552484,0.319858805114273,-5.48706481567021,4.08667215255508e-08
"pos_before_start_upos_9+_months",-0.915350437606199,0.204449648401392,-4.47714361341972,7.5648363510965e-06
"vacc_gap7-8 wk",-0.255559854195234,0.120313952835508,-2.12410820334889,0.0336610967105449
"vacc_gap9-10 wk",-0.172948099935702,0.11859444804715,-1.45831531562878,0.144753650586728
"vacc_gap11-12 wk",-0.0379107554921767,0.128181538955782,-0.295758311228067,0.767414662183618
"vacc_gap13+ wk",0.0336069560879968,0.173328005505895,0.193892244879341,0.846260256160655
