"","name","value","total_vacc_adm","Percent_of_vacc_adm","both_vacc_event","person_years","rate_per_1000_yrs"
"1","age_gp","18-49",498318,28.5,451,222331.657564188,2
"2","age_gp","50-54",241177,13.8,167,109274.433294632,1.5
"3","age_gp","55-59",261005,14.9,236,121568.162532934,1.9
"4","age_gp","60-64",241069,13.8,203,112131.07477342,1.8
"5","age_gp","65-69",106968,6.1,187,50363.1934608556,3.8
"6","age_gp","70-74",111744,6.4,247,49591.923727129,5
"7","age_gp","75-79",110957,6.3,280,51522.8511186561,5.5
"8","age_gp","80+",176163,10.1,942,80980.966453267,11.7
"9","bmi_gp","<18.5",15825,0.9,88,6696.06710706015,13.1
"10","bmi_gp","18.5-24.9",207565,11.9,504,94298.1481577501,5.3
"11","bmi_gp","25-29.9",1150263,65.8,1405,527038.800573843,2.7
"12","bmi_gp","30-34.9",219463,12.6,420,98296.5145062452,4.3
"13","bmi_gp","35-39.9",94056,5.4,178,43205.5377225601,4.1
"14","bmi_gp","40+",60229,3.4,118,28229.1948585154,4.2
"15","n_risk_gps","0",887262,50.8,541,404286.530230102,1.3
"16","n_risk_gps","1",504041,28.8,679,229337.942829905,3
"17","n_risk_gps","2",212268,12.1,590,99122.2119233197,6
"18","n_risk_gps","3",85800,4.9,451,38266.3307196765,11.8
"19","n_risk_gps","4",35760,2,225,16684.3327042966,13.5
"20","n_risk_gps","5+",22270,1.3,227,10066.9145189556,22.7
"21","n_tests_gp","0",1003718,57.4,990,462989.828384235,2.2
"22","n_tests_gp","1",396702,22.7,490,179301.433880599,2.7
"23","n_tests_gp","10+",23440,1.3,257,10339.5133737326,25
"24","n_tests_gp","2",169734,9.7,291,76821.0746648216,3.8
"25","n_tests_gp","3-4",109241,6.3,372,48857.1071911781,7.7
"26","n_tests_gp","5-9",44566,2.6,313,19455.3054316313,16.1
"27","pos_before_start_u","not_prev_pos",1637862,93.7,2639,748813.093248411,3.5
"28","pos_before_start_u","pos_0:2_months",54079,3.1,36,23424.8278726599,1.5
"29","pos_before_start_u","pos_3:5_months",6686,0.4,4,3078.05449091011,1.3
"30","pos_before_start_u","pos_6:8_months",25680,1.5,21,12099.7747289688,1.7
"31","pos_before_start_u","pos_9+_months",23094,1.3,13,10348.5125857658,1.3
"32","Sex","F",882911,50.5,1339,404330.139618935,3.3
"33","Sex","M",864490,49.5,1374,393434.123307993,3.5
"34","simd2020_sc_quintile","1 - High",310934,17.8,747,144496.408739284,5.2
"35","simd2020_sc_quintile","2",338823,19.4,667,149228.566556038,4.5
"36","simd2020_sc_quintile","3",360717,20.6,512,165425.135919897,3.1
"37","simd2020_sc_quintile","4",365810,20.9,415,170042.716378675,2.5
"38","simd2020_sc_quintile","5-Low",361909,20.7,353,164973.012398082,2.2
"39","simd2020_sc_quintile","NA",9208,0.5,19,3598.422933841,5.3
"40","ur6_2016_name","1 Large Urban Areas",528165,30.2,997,243618.492568032,4.1
"41","ur6_2016_name","2 Other Urban Areas",662939,37.9,1058,303087.027433791,3.5
"42","ur6_2016_name","3 Accessible Small Towns",177812,10.2,244,81162.7867417453,3
"43","ur6_2016_name","4 Remote Small Towns",96266,5.5,104,44036.1348057469,2.4
"44","ur6_2016_name","5 Accessible Rural",177929,10.2,216,79559.730848856,2.8
"45","ur6_2016_name","6 Remote Rural",95082,5.4,75,42701.6675938483,1.8
"46","ur6_2016_name","missing",9208,0.5,19,3598.422933841,5.3
"47","vacc_gap","<7wk",23596,1.4,60,11066.9727967805,5.4
"48","vacc_gap","11-12 wk",432856,24.8,780,198435.028241372,4
"49","vacc_gap","13+ wk",73460,4.2,173,28474.0915543966,5.9
"50","vacc_gap","7-8 wk",319082,18.3,442,147943.078266351,3
"51","vacc_gap","9-10 wk",898407,51.4,1258,411845.092067494,3.1
