term,estimate,std.error,statistic,p.value,country
(Intercept),-6.765092401,0.238892256,-28.31859225,2.04E-176,wales
vacc_dose_intervaldoseb_day028,0.196806376,0.114925674,1.712466585,0.086810717,wales
vacc_dose_intervaldoseb_day056,0.114100778,0.112792106,1.011602516,0.311728142,wales
sexFemale,-0.131085545,0.059319571,-2.209819525,0.02711769,wales
age_5y_cat30_34,-0.258797207,0.270108631,-0.958122685,0.338000898,wales
age_5y_cat35_39,0.197930715,0.227377297,0.870494628,0.384030154,wales
age_5y_cat40_44,-0.129891503,0.242852618,-0.534857328,0.592748518,wales
age_5y_cat45_49,-0.156034644,0.229793502,-0.679021135,0.497124471,wales
age_5y_cat50_54,0.125720336,0.20067758,0.62647923,0.531000656,wales
age_5y_cat55_59,-0.090713244,0.204767836,-0.443005335,0.657761876,wales
age_5y_cat60_64,0.183600154,0.194270292,0.945075809,0.344620174,wales
age_5y_cat65_69,0.269807214,0.195231802,1.381983931,0.166976635,wales
age_5y_cat70_74,0.602006059,0.186673617,3.224912382,0.001260112,wales
age_5y_cat75_79,1.019031061,0.184087819,5.535570299,3.10E-08,wales
age_5y_cat80_110,1.717511941,0.175611619,9.7801726,1.37E-22,wales
qcovid_cat1,0.486222371,0.091217497,5.33036299,9.80E-08,wales
qcovid_cat2,0.942056458,0.097128312,9.699092204,3.04E-22,wales
qcovid_cat3,1.409554814,0.105214866,13.39691683,6.30E-41,wales
qcovid_cat4,1.70987769,0.118474656,14.43243428,3.23E-47,wales
qcovid_cat5+,1.970319089,0.118901965,16.57095486,1.13E-61,wales
ethn_catAsian,0.932444408,0.177199642,5.262112245,1.42E-07,wales
ethn_catOther,0.377687098,0.503022538,0.750835338,0.452751759,wales
ethn_catMixed,0.481987513,0.450112476,1.070815716,0.284252299,wales
ethn_catBlack,0.872755352,0.412044323,2.118110368,0.034165722,wales
ethn_catUnknown,-0.830834796,0.578821334,-1.435390761,0.151175777,wales
wimd2019_quintile1most,0.286476125,0.098968626,2.894615567,0.003796231,wales
wimd2019_quintile2,0.221818472,0.096797425,2.291574102,0.021930231,wales
wimd2019_quintile3,0.120379079,0.099689722,1.207537511,0.227225208,wales
wimd2019_quintile4,0.069464323,0.100194154,0.693297165,0.488123082,wales
urban_rural_classRural,0.207734018,0.070403686,2.950612819,0.003171442,wales
test_pre_dose2_cat01,0.336258872,0.082352179,4.083181244,4.44E-05,wales
test_pre_dose2_cat02,0.556647238,0.116473758,4.779164414,1.76E-06,wales
test_pre_dose2_cat03-04,1.067660204,0.11324768,9.427656274,4.19E-21,wales
test_pre_dose2_cat05-09,1.390234295,0.135094989,10.29079102,7.75E-25,wales
test_pre_dose2_cat10+,1.153310464,0.163557577,7.05140344,1.77E-12,wales
dose2_prior_infection_cat00-12wk,-1.224922376,0.504488419,-2.428048554,0.015180311,wales
dose2_prior_infection_cat13-25wk,-1.737300734,0.381270073,-4.556614479,5.20E-06,wales
dose2_prior_infection_cat26-38wk,-0.76979985,0.413444242,-1.861919386,0.062614454,wales
dose2_prior_infection_cat39+wk,0.327004948,0.36012419,0.908033833,0.363860347,wales
vacc_dose1_dose2_diff_cat07-08wk,-0.20926693,0.121771076,-1.718527385,0.085700464,wales
vacc_dose1_dose2_diff_cat09-10wk,-0.1216833,0.101554252,-1.198209793,0.230835354,wales
vacc_dose1_dose2_diff_cat11-12wk,-0.105483133,0.090741537,-1.162456979,0.24504989,wales
vacc_dose1_dose2_diff_cat13+wk,0.291051623,0.173096831,1.681438192,0.092677832,wales
bmi_cat<18.5,0.217315,0.19421441,1.118943752,0.263164136,wales
bmi_cat25.0-29.9,-0.242145992,0.075880733,-3.191139323,0.001417129,wales
bmi_cat30.0-39.9,-0.09258332,0.076234893,-1.214448092,0.22457666,wales
bmi_cat40.0+,0.143554083,0.142370456,1.008313709,0.313303884,wales
health_boardBetsi Cadwaladr University Health Board,-0.070472029,0.096322005,-0.731629588,0.464394684,wales
health_boardCardiff and Vale University Health Board,-0.398820412,0.114335825,-3.488149168,4.86E-04,wales
health_boardCwm Taf Morgannwg University Health Board,-0.165471096,0.097678772,-1.694033335,0.090258949,wales
health_boardHywel Dda University Health Board,0.025631354,0.108194772,0.236900116,0.81273428,wales
health_boardPowys Teaching Health Board,-0.291268084,0.232046143,-1.255216228,0.209400276,wales
health_boardSwansea Bay University Health Board,-0.052812466,0.102999682,-0.512743967,0.60813043,wales
bg_intervalbg_interval56,0.469672855,0.13531367,3.470993387,5.19E-04,wales
bg_intervalbg_interval57,0.513498225,0.133163096,3.856160152,1.15E-04,wales
bg_intervalbg_interval58,0.515192515,0.133107417,3.870501947,1.09E-04,wales
bg_intervalbg_interval59,0.160617646,0.141901699,1.131893755,0.257679104,wales
bg_intervalbg_interval60,0.204381328,0.140674549,1.452866417,0.146260847,wales
bg_intervalbg_interval61,-0.05316064,0.148569023,-0.357817793,0.720479674,wales
bg_intervalbg_interval62,-0.271950423,0.15687952,-1.733498565,0.083007092,wales
bg_intervalbg_interval63,-0.27415538,0.157988681,-1.735284951,0.082690346,wales
bg_intervalbg_interval64,-0.532416151,0.169213135,-3.1464233,0.001652806,wales
