"","Adjusted Rate Ratio","LCI","UCI","ARR (LCI-UCI)"
"(Intercept)",0,0,0,"0 (0-0)"
"pv_period_fv2_10:14",1.307,0.97,1.76,"1.307 (0.97-1.76)"
"pv_period_fv2_15:19",1.9,1.461,2.47,"1.9 (1.461-2.47)"
"pv_period_fv2_20+",3.22,2.52,4.115,"3.22 (2.52-4.115)"
"pv_period_fv3_0:1",1.237,0.935,1.636,"1.237 (0.935-1.636)"
"pv_period_fv3_2:4",0.687,0.518,0.911,"0.687 (0.518-0.911)"
"pv_period_fv3_5:8",0.827,0.629,1.086,"0.827 (0.629-1.086)"
"pv_period_fv3_9+",1.236,0.945,1.617,"1.236 (0.945-1.617)"
"period_f7",0.825,0.689,0.988,"0.825 (0.689-0.988)"
"period_f14",0.754,0.626,0.906,"0.754 (0.626-0.906)"
"period_f21",0.764,0.634,0.919,"0.764 (0.634-0.919)"
"period_f28",0.892,0.744,1.068,"0.892 (0.744-1.068)"
"period_f35",0.869,0.722,1.047,"0.869 (0.722-1.047)"
"period_f42",0.942,0.782,1.136,"0.942 (0.782-1.136)"
"period_f49",0.869,0.714,1.057,"0.869 (0.714-1.057)"
"period_f56",0.885,0.725,1.082,"0.885 (0.725-1.082)"
"period_f63",0.843,0.684,1.039,"0.843 (0.684-1.039)"
"period_f70",0.715,0.57,0.896,"0.715 (0.57-0.896)"
"period_f77",0.733,0.583,0.922,"0.733 (0.583-0.922)"
"period_f84",0.793,0.632,0.995,"0.793 (0.632-0.995)"
"period_f91",0.753,0.595,0.952,"0.753 (0.595-0.952)"
"period_f98",1.235,1.006,1.516,"1.235 (1.006-1.516)"
"period_f105",2.237,1.87,2.677,"2.237 (1.87-2.677)"
"period_f112",2.661,2.233,3.17,"2.661 (2.233-3.17)"
"period_f119",2.132,1.773,2.564,"2.132 (1.773-2.564)"
"period_f126",1.848,1.527,2.236,"1.848 (1.527-2.236)"
"period_f133",1.312,1.066,1.615,"1.312 (1.066-1.615)"
"period_f140",1.368,1.114,1.681,"1.368 (1.114-1.681)"
"period_f147",1.319,1.071,1.624,"1.319 (1.071-1.624)"
"period_f154",1.49,1.217,1.824,"1.49 (1.217-1.824)"
"period_f161",1.927,1.59,2.336,"1.927 (1.59-2.336)"
"period_f168",1.649,1.351,2.013,"1.649 (1.351-2.013)"
"period_f175",2.249,1.864,2.714,"2.249 (1.864-2.714)"
"period_f182",1.539,1.236,1.918,"1.539 (1.236-1.918)"
"SexM",1.252,1.186,1.322,"1.252 (1.186-1.322)"
"age_gp50-64",1.797,1.645,1.963,"1.797 (1.645-1.963)"
"age_gp65-79",3.442,3.131,3.785,"3.442 (3.131-3.785)"
"age_gp80+",7.471,6.745,8.274,"7.471 (6.745-8.274)"
"n_risk_gps1",1.618,1.507,1.737,"1.618 (1.507-1.737)"
"n_risk_gps2",2.691,2.478,2.922,"2.691 (2.478-2.922)"
"n_risk_gps3",3.6,3.259,3.977,"3.6 (3.259-3.977)"
"n_risk_gps4",4.454,3.94,5.037,"4.454 (3.94-5.037)"
"n_risk_gps5+",4.45,3.882,5.102,"4.45 (3.882-5.102)"
"simd2020_sc_quintile1 - High",1.82,1.665,1.989,"1.82 (1.665-1.989)"
"simd2020_sc_quintile2",1.607,1.468,1.758,"1.607 (1.468-1.758)"
"simd2020_sc_quintile3",1.382,1.258,1.519,"1.382 (1.258-1.519)"
"simd2020_sc_quintile4",1.195,1.085,1.315,"1.195 (1.085-1.315)"
"pos_before_start_upos_0:2_months",1.185,1.037,1.354,"1.185 (1.037-1.354)"
"pos_before_start_upos_3:5_months",0.32,0.172,0.595,"0.32 (0.172-0.595)"
"pos_before_start_upos_6:8_months",0.237,0.166,0.337,"0.237 (0.166-0.337)"
"pos_before_start_upos_9+_months",0.269,0.199,0.364,"0.269 (0.199-0.364)"
"vacc_gap7-8 wk",0.724,0.618,0.848,"0.724 (0.618-0.848)"
"vacc_gap9-10 wk",0.811,0.697,0.944,"0.811 (0.697-0.944)"
"vacc_gap11-12 wk",0.75,0.642,0.877,"0.75 (0.642-0.877)"
"vacc_gap13+ wk",0.973,0.803,1.178,"0.973 (0.803-1.178)"
"n_tests_gp1",1.482,1.373,1.598,"1.482 (1.373-1.598)"
"n_tests_gp2",2.021,1.845,2.214,"2.021 (1.845-2.214)"
"n_tests_gp3",2.674,2.4,2.98,"2.674 (2.4-2.98)"
"n_tests_gp4",3.979,3.518,4.501,"3.979 (3.518-4.501)"
"n_tests_gp5-9",4.9,4.453,5.393,"4.9 (4.453-5.393)"
"n_tests_gp10-19",4.764,4.193,5.414,"4.764 (4.193-5.414)"
"n_tests_gp20+",3.487,2.979,4.082,"3.487 (2.979-4.082)"
"ur_combined1",1.349,1.251,1.456,"1.349 (1.251-1.456)"
