"","Adjusted Rate Ratio","LCI","UCI","ARR (LCI-UCI)"
"(Intercept)",0.001,0,0.005,"0.001 (0-0.005)"
"pv_period_fv2_10:14",0.507,0.126,2.046,"0.507 (0.126-2.046)"
"pv_period_fv2_15:19",0.289,0.079,1.048,"0.289 (0.079-1.048)"
"pv_period_fv2_20+",0.599,0.236,1.524,"0.599 (0.236-1.524)"
"pv_period_fv3_0:1",0.163,0.045,0.585,"0.163 (0.045-0.585)"
"pv_period_fv3_2:4",0.179,0.058,0.551,"0.179 (0.058-0.551)"
"pv_period_fv3_5:8",0.206,0.071,0.599,"0.206 (0.071-0.599)"
"pv_period_fv3_9+",0.186,0.065,0.533,"0.186 (0.065-0.533)"
"period_f7",0.213,0.061,0.741,"0.213 (0.061-0.741)"
"period_f14",0.811,0.368,1.789,"0.811 (0.368-1.789)"
"period_f21",0.551,0.222,1.37,"0.551 (0.222-1.37)"
"period_f28",0.263,0.075,0.919,"0.263 (0.075-0.919)"
"period_f35",0.77,0.321,1.851,"0.77 (0.321-1.851)"
"period_f42",0.645,0.245,1.698,"0.645 (0.245-1.698)"
"period_f49",0.586,0.208,1.649,"0.586 (0.208-1.649)"
"period_f56",0.495,0.161,1.525,"0.495 (0.161-1.525)"
"period_f63",0.392,0.111,1.385,"0.392 (0.111-1.385)"
"period_f70",0.83,0.311,2.211,"0.83 (0.311-2.211)"
"period_f77",0.429,0.121,1.521,"0.429 (0.121-1.521)"
"period_f84",0.154,0.02,1.184,"0.154 (0.02-1.184)"
"period_f91",0.487,0.136,1.736,"0.487 (0.136-1.736)"
"period_f98",1.044,0.386,2.822,"1.044 (0.386-2.822)"
"period_f105",3.041,1.418,6.519,"3.041 (1.418-6.519)"
"period_f112",3.31,1.551,7.066,"3.31 (1.551-7.066)"
"period_f119",3.191,1.474,6.904,"3.191 (1.474-6.904)"
"period_f126",2.656,1.186,5.949,"2.656 (1.186-5.949)"
"period_f133",2.668,1.187,5.994,"2.668 (1.187-5.994)"
"period_f140",1.332,0.507,3.497,"1.332 (0.507-3.497)"
"period_f147",2.097,0.89,4.946,"2.097 (0.89-4.946)"
"period_f154",1.924,0.798,4.641,"1.924 (0.798-4.641)"
"period_f161",3.707,1.711,8.033,"3.707 (1.711-8.033)"
"period_f168",3.381,1.531,7.463,"3.381 (1.531-7.463)"
"period_f175",1.996,0.822,4.848,"1.996 (0.822-4.848)"
"period_f182",2.239,0.874,5.737,"2.239 (0.874-5.737)"
"SexM",1.413,1.046,1.907,"1.413 (1.046-1.907)"
"age_gp50-64",3.661,2.07,6.474,"3.661 (2.07-6.474)"
"age_gp65-79",6.916,4.062,11.775,"6.916 (4.062-11.775)"
"age_gp80+",13.219,7.69,22.726,"13.219 (7.69-22.726)"
"n_risk_gps1",1.948,1.244,3.049,"1.948 (1.244-3.049)"
"n_risk_gps2",1.959,1.206,3.181,"1.959 (1.206-3.181)"
"n_risk_gps3",3.358,2.05,5.502,"3.358 (2.05-5.502)"
"n_risk_gps4",2.675,1.496,4.783,"2.675 (1.496-4.783)"
"n_risk_gps5+",3.513,1.9,6.495,"3.513 (1.9-6.495)"
"simd2020_sc_quintile1 - High",1.59,1.038,2.436,"1.59 (1.038-2.436)"
"simd2020_sc_quintile2",1.022,0.651,1.606,"1.022 (0.651-1.606)"
"simd2020_sc_quintile3",1.009,0.625,1.631,"1.009 (0.625-1.631)"
"simd2020_sc_quintile4",1.007,0.623,1.626,"1.007 (0.623-1.626)"
"pos_before_start_upos_0:2_months",3.358,1.705,6.612,"3.358 (1.705-6.612)"
"pos_before_start_upos_3:5_months",0,0,2.46923370626201e+188,"0 (0-2.46923370626201e+188)"
"pos_before_start_upos_6:8_months",0.321,0.076,1.361,"0.321 (0.076-1.361)"
"pos_before_start_upos_9+_months",0.116,0.016,0.849,"0.116 (0.016-0.849)"
"vacc_gap7-8 wk",0.868,0.428,1.763,"0.868 (0.428-1.763)"
"vacc_gap9-10 wk",0.79,0.393,1.589,"0.79 (0.393-1.589)"
"vacc_gap11-12 wk",1.168,0.577,2.365,"1.168 (0.577-2.365)"
"vacc_gap13+ wk",0.57,0.232,1.399,"0.57 (0.232-1.399)"
"n_tests_gp1",1.203,0.788,1.836,"1.203 (0.788-1.836)"
"n_tests_gp2",1.402,0.838,2.344,"1.402 (0.838-2.344)"
"n_tests_gp3",3.787,2.304,6.226,"3.787 (2.304-6.226)"
"n_tests_gp4",2.321,1.264,4.263,"2.321 (1.264-4.263)"
"n_tests_gp5-9",3.64,2.365,5.604,"3.64 (2.365-5.604)"
"n_tests_gp10-19",3.255,2.101,5.042,"3.255 (2.101-5.042)"
"n_tests_gp20+",7.359,3.911,13.844,"7.359 (3.911-13.844)"
"ur_combined1",1.724,1.154,2.575,"1.724 (1.154-2.575)"
