"","Adjusted Rate Ratio","LCI","UCI","ARR (LCI-UCI)"
"(Intercept)",0,0,0.001,"0 (0-0.001)"
"pv_period_fv2_10:19",1.331,0.783,2.262,"1.331 (0.783-2.262)"
"pv_period_fv2_20+",2.711,1.671,4.399,"2.711 (1.671-4.399)"
"pv_period_fv3_0:1",0.913,0.528,1.578,"0.913 (0.528-1.578)"
"pv_period_fv3_2:4",0,0,2.26900607082904e+57,"0 (0-2.26900607082904e+57)"
"pv_period_fv3_2:4_Mo",0.68,0.346,1.336,"0.68 (0.346-1.336)"
"pv_period_fv3_2:4_PB",0.783,0.456,1.343,"0.783 (0.456-1.343)"
"pv_period_fv3_5:8",2.419,0.321,18.199,"2.419 (0.321-18.199)"
"pv_period_fv3_5:8_Mo",0.683,0.369,1.265,"0.683 (0.369-1.265)"
"pv_period_fv3_5:8_PB",0.923,0.551,1.546,"0.923 (0.551-1.546)"
"pv_period_fv3_9+",2.431,0.893,6.614,"2.431 (0.893-6.614)"
"pv_period_fv3_9+_Mo",0.97,0.574,1.641,"0.97 (0.574-1.641)"
"pv_period_fv3_9+_PB",1.369,0.838,2.236,"1.369 (0.838-2.236)"
"period_f7",0.82,0.723,0.93,"0.82 (0.723-0.93)"
"period_f14",0.794,0.699,0.901,"0.794 (0.699-0.901)"
"period_f21",0.777,0.683,0.884,"0.777 (0.683-0.884)"
"period_f28",0.855,0.753,0.972,"0.855 (0.753-0.972)"
"period_f35",0.942,0.83,1.07,"0.942 (0.83-1.07)"
"period_f42",0.99,0.87,1.126,"0.99 (0.87-1.126)"
"period_f49",0.907,0.791,1.039,"0.907 (0.791-1.039)"
"period_f56",0.914,0.795,1.052,"0.914 (0.795-1.052)"
"period_f63",0.857,0.739,0.993,"0.857 (0.739-0.993)"
"period_f70",0.798,0.683,0.933,"0.798 (0.683-0.933)"
"period_f77",0.728,0.617,0.859,"0.728 (0.617-0.859)"
"period_f84",0.866,0.738,1.015,"0.866 (0.738-1.015)"
"period_f91",0.833,0.706,0.983,"0.833 (0.706-0.983)"
"period_f98",1.183,1.018,1.375,"1.183 (1.018-1.375)"
"period_f105",2.336,2.055,2.654,"2.336 (2.055-2.654)"
"period_f112",2.702,2.384,3.063,"2.702 (2.384-3.063)"
"period_f119",2.117,1.854,2.417,"2.117 (1.854-2.417)"
"period_f126",1.816,1.582,2.085,"1.816 (1.582-2.085)"
"period_f133",1.405,1.212,1.628,"1.405 (1.212-1.628)"
"period_f140",1.374,1.184,1.594,"1.374 (1.184-1.594)"
"period_f147",1.498,1.295,1.733,"1.498 (1.295-1.733)"
"period_f154",1.543,1.335,1.784,"1.543 (1.335-1.784)"
"period_f161",1.951,1.7,2.24,"1.951 (1.7-2.24)"
"period_f168",1.856,1.614,2.135,"1.856 (1.614-2.135)"
"period_f175",2.447,2.143,2.795,"2.447 (2.143-2.795)"
"period_f182",1.607,1.373,1.881,"1.607 (1.373-1.881)"
"SexM",1.317,1.267,1.369,"1.317 (1.267-1.369)"
"age_gp50-64",1.743,1.633,1.859,"1.743 (1.633-1.859)"
"age_gp65-79",3.081,2.878,3.299,"3.081 (2.878-3.299)"
"age_gp80+",6.18,5.741,6.652,"6.18 (5.741-6.652)"
"n_risk_gps1",1.741,1.647,1.842,"1.741 (1.647-1.842)"
"n_risk_gps2",2.828,2.659,3.008,"2.828 (2.659-3.008)"
"n_risk_gps3",3.849,3.59,4.128,"3.849 (3.59-4.128)"
"n_risk_gps4",4.901,4.512,5.325,"4.901 (4.512-5.325)"
"n_risk_gps5+",5.225,4.784,5.707,"5.225 (4.784-5.707)"
"bmi_gp<18.5",3.648,1.438,9.253,"3.648 (1.438-9.253)"
"bmi_gp25-29.9",0.813,0.479,1.38,"0.813 (0.479-1.38)"
"bmi_gp30-39.9",0.951,0.454,1.992,"0.951 (0.454-1.992)"
"bmi_gp40+",0.802,0.107,6.03,"0.802 (0.107-6.03)"
"simd2020_sc_quintile1 - High",1.732,1.624,1.848,"1.732 (1.624-1.848)"
"simd2020_sc_quintile2",1.481,1.387,1.582,"1.481 (1.387-1.582)"
"simd2020_sc_quintile3",1.28,1.195,1.371,"1.28 (1.195-1.371)"
"simd2020_sc_quintile4",1.135,1.058,1.218,"1.135 (1.058-1.218)"
"pos_before_start_upos_0:2_months",1.341,1.22,1.475,"1.341 (1.22-1.475)"
"pos_before_start_upos_3:5_months",0.312,0.191,0.51,"0.312 (0.191-0.51)"
"pos_before_start_upos_6:8_months",0.23,0.178,0.296,"0.23 (0.178-0.296)"
"pos_before_start_upos_9+_months",0.25,0.198,0.316,"0.25 (0.198-0.316)"
"vacc_gap7-8 wk",0.798,0.712,0.894,"0.798 (0.712-0.894)"
"vacc_gap9-10 wk",0.888,0.797,0.99,"0.888 (0.797-0.99)"
"vacc_gap11-12 wk",0.835,0.747,0.934,"0.835 (0.747-0.934)"
"vacc_gap13+ wk",1.035,0.904,1.187,"1.035 (0.904-1.187)"
"n_tests_gp1",1.494,1.415,1.577,"1.494 (1.415-1.577)"
"n_tests_gp2",1.946,1.823,2.077,"1.946 (1.823-2.077)"
"n_tests_gp3",2.582,2.391,2.788,"2.582 (2.391-2.788)"
"n_tests_gp4",3.483,3.187,3.807,"3.483 (3.187-3.807)"
"n_tests_gp5-9",4.422,4.135,4.729,"4.422 (4.135-4.729)"
"n_tests_gp10-19",4.367,3.998,4.77,"4.367 (3.998-4.77)"
"n_tests_gp20+",3.402,3.04,3.807,"3.402 (3.04-3.807)"
"ur_combined1",1.307,1.238,1.38,"1.307 (1.238-1.38)"
